line_operator,railway_line,terminus_station,station_japanese,travel_time_from_shinjuku,travel_time_from_tokyo,attraction_1,attraction_1_type,attraction_1_japanese,Editorial,attraction_2,attraction_2_type,attraction_2_japanese,prefecture,municipality,elevation_meters,difficulty_level,best_months,photography_highlights,transport_notes,attraction_1_image_url,image_1_attribution,attraction_2_image_url,image_2_attribution
JR East,JR Chuo Line,Takao,高尾,60,75,Mount Takao Hiking Trails,hiking,高尾山ハイキングコース,Ipsim lorem,Yakuoin Temple,temple,薬王院,Tokyo,Hachioji,599,easy-moderate,Apr-May Nov,autumn foliage cable car views temple architecture,cable car or hiking access,images/1/takao.jpg,"By Takaosan fukujuso - Own work, CC BY-SA 4.0",images/2/takaosanguchi-station.jpg,"By Nesnad - Own work, CC BY 4.0"
JR East,JR Chuo Line,Sagamiko,相模湖,75,90,Lake Sagami Walking Trails,lakeside walking,相模湖遊歩道,Ipsim lorem,Sagamiko Onsen,onsen,相模湖温泉,Kanagawa,Sagamihara,200,easy,Apr-May Sep-Nov,lake reflections cherry blossoms mountain backdrop,lakeside resort area,images/1/sagamiko.jpg,"By Souka Kinmei - Own work, CC0",images/2/_________________.jpg,
JR East,JR Ome Line,Ome,青梅,90,105,Tama River Walking Path,riverside walking,多摩川遊歩道,Ipsim lorem,Chichibu-Tama-Kai National Park Access,national park,秩父多摩甲斐国立公園,Tokyo,Ome,200,easy-moderate,Feb-Mar Apr-May,plum blossoms historic town riverside views,historic railway town,images/1/tama-river.jpg,"By Σ64 - Own work, CC BY-SA 3.0",images/2/ome.jpg,
JR East,JR Ome Line,Mitake,御嶽,75,90,Mount Mitake Hiking Trails,mountain hiking,御岳山登山道,Ipsim lorem,Mitake Onsen,mountain onsen,御岳温泉,Tokyo,Ome,929,moderate,May-Jun Sep-Oct,shrine architecture mountain views traditional onsen,cable car to summit,images/1/mitakesan.jpg,"By Douglas Paul Perkins - Own work, CC BY 3.0",images/2/_________________.jpg,
JR East,JR Itsukaichi Line,Musashi-Itsukaichi,武蔵五日市,90,105,Akigawa Valley Hiking,valley hiking,秋川渓谷ハイキング,Ipsim lorem,Akigawa Valley Onsen,valley onsen,秋川渓谷温泉,Tokyo,Akiruno,250,easy-moderate,Apr-May Sep-Nov,river gorges forest trails mountain onsen,valley resort access,images/1/akigawa-river.jpg,"By Hiroaki Kaneko, CC BY-SA 2.0",images/2/tama-river.jpg,
Odakyu,Odakyu Odawara Line,Hakone-Yumoto,箱根湯本,120,135,Hakone Hiking Trails,mountain hiking,箱根登山道,Ipsim lorem,Hakone Onsen District,onsen resort,箱根温泉郷,Kanagawa,Hakone,96,easy-difficult,May-Jun Sep-Oct,lake ashi views ryokan architecture volcanic landscape,resort train access,images/1/hakone-mountains-from-mt.sannoto.jpg,"By Σ64 - Own work, CC BY 3.0",images/2/hakone-yumoto-onsen,"By Quercus acuta - Own work, CC BY-SA 4.0"
Odakyu,Odakyu Tama Line,Karakida,唐木田,45,60,Tama Hills Walking Courses,hill walking,多摩丘陵ウォーキング,Ipsim lorem,Tama River Cycling Path,cycling path,多摩川サイクリングロード,Tokyo,Tama,150,easy,Mar-May Sep-Nov,suburban nature cherry blossoms river views,new town access,images/1/tama-new-town.jpg,"By Konaine - Own work, CC BY-SA 3.0",images/2/tamagawa-cycling.jpg,"By MWE - Own work, CC BY-SA 3.0"
Keio,Keio Takao Line,Takaosanguchi,高尾山口,60,75,Mount Takao Trail Network,mountain hiking,高尾山登山コース,Ipsim lorem,Takao 599 Museum,nature museum,高尾599ミュージアム,Tokyo,Hachioji,201,easy-moderate,Apr-May Nov,mountain station architecture trail variety,direct mountain access,images/1/lake-chuzenji-nikko-national-park.jpg,"By Daderot - Own work, Public Domain",images/2/nikko-yumoto-onsen.jpg,"By Raita Futo from Tokyo, Japan - Nikko Yumoto Onsen, CC BY 2.0"
Keio,Keio Sagamihara Line,Hashimoto,橋本,60,75,Sagami River Walking Trail,riverside walking,相模川遊歩道,Ipsim lorem,Sagamihara Park,city park,相模原公園,Kanagawa,Sagamihara,120,easy,Mar-May Sep-Nov,river landscapes urban park cherry blossoms,transport hub access,images/1/okuchichibu_mountains_from_mt.yokodake.jpg,"By Σ64 - Own work, CC BY 3.0",images/2/chichibu-jinja.jpg,"By Ultrasleeper2 - Own work, CC BY-SA 3.0"
Tobu,Tobu Nikko Line,Nikko,日光,120,135,Nikko National Park Trails,national park hiking,日光国立公園登山道,Ipsim lorem,Nikko Onsen (Yumoto),mountain onsen,日光湯元温泉,Tochigi,Nikko,1269,moderate-difficult,May-Jun Sep-Oct,UNESCO shrines lake chuzenji waterfalls,World Heritage access,images/1/nagatoro_arakawa_kanaisisuikankyou.jpg,"By 京浜にけ - Own work, CC BY-SA 3.0",images/2/nagatoro-cherry-blossoms.jpg,"By Tedd Okano - Imported from 500px (archived version) by the Archive Team. (detail page), CC BY-SA 3.0"
Seibu,Seibu Chichibu Line,Seibu-Chichibu,西武秩父,120,135,Chichibu Mountain Trails,mountain hiking,秩父山地登山道,Ipsim lorem,Chichibu Onsen,mountain onsen,秩父温泉,Saitama,Chichibu,240,moderate,Apr-May Oct-Nov,mountain landscapes traditional onsen rural town,mountain resort access,images/1/hanno-lake.jpg,"By soichi kaneko, CC BY-SA 3.0",images/2/moomin-valley-park.jpg,"By 江戸村のとくぞう - Own work, CC BY-SA 4.0"
Seibu,Seibu Chichibu Line,Nagatoro,長瀞,105,120,Nagatoro Rock Formation Walk,geological walking,長瀞岩畳散策,Ipsim lorem,Nagatoro River Activities,river recreation,長瀞川下り,Saitama,Nagatoro,150,easy,Apr-May Sep-Nov,unique rock formations river rafting seasonal colors,scenic river access,images/1/nagatoro_arakawa_kanaisisuikankyou.jpg,"By 京浜にけ - Own work, CC BY-SA 3.0",images/2/_________________.jpg,
Seibu,Seibu Ikebukuro Line,Hanno,飯能,60,75,Okumusashi Hiking Trails,forest hiking,奥武蔵登山道,Ipsim lorem,Hanno Onsen,local onsen,飯能温泉,Saitama,Hanno,200,easy-moderate,Apr-May Sep-Nov,forest trails lake views moomin theme park,mountain base access,images/1/okumusashi.jpg,"By icer1212, CC BY-SA 3.0",images/2/_________________.jpg,
